"No.","Time","Source","Destination","Protocol","Length","Info"
"99","71.046232232","8c:90:2d:fd:a5:fb","ec:75:0c:c2:51:49","ARP","42","172.16.40.1 is at 8c:90:2d:fd:a5:fb"
"100","71.946543022","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=28/7168, ttl=64 (reply in 101)"
"101","71.946792882","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=28/7168, ttl=64 (request in 100)"
"102","72.069105679","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"103","72.970537850","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=29/7424, ttl=64 (reply in 104)"
"104","72.970791441","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=29/7424, ttl=64 (request in 103)"
"105","73.994550853","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=30/7680, ttl=64 (reply in 106)"
"106","73.994804890","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=30/7680, ttl=64 (request in 105)"
"107","74.066586287","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"108","75.018545597","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=31/7936, ttl=64 (reply in 109)"
"109","75.018800874","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=31/7936, ttl=64 (request in 108)"
"110","76.042548459","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=32/8192, ttl=64 (reply in 111)"
"111","76.042782824","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=32/8192, ttl=64 (request in 110)"
"112","76.069148258","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"113","77.066540923","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=33/8448, ttl=64 (reply in 114)"
"114","77.066759593","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=33/8448, ttl=64 (request in 113)"
"115","78.071755666","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"116","78.090571184","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=34/8704, ttl=64 (reply in 117)"
"117","78.090807067","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=34/8704, ttl=64 (request in 116)"
"118","79.114552167","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=35/8960, ttl=64 (reply in 119)"
